Transcript ID,heatmap_label,SAM6D,SAM17D,SAM38D,AM,Cotyledon,Leaf,Hypocotyl,tau
Glyma.03G070500.2,Glyma.03G070500|GmARF9_B.2,0.8542419916115217,1,0.6765849834175368,0.8065113185825907,0.14841746342803586,0.1549489731903494,0.12670653367438295,0.5387647893492638
Glyma.03G158600.1,Glyma.03G158600|GmIAA1-4-F.1,0.041378563869627565,0.08636483978002235,0.06184665375845451,0.13349238543710287,0.006206200014934706,0.14759927116623708,1,0.9205186809956035
Glyma.03G158700.1,Glyma.03G158700|GmIAA16-H.1,0.05265492408855219,0.10424545911240245,0.19203248730919925,0.1644629929844385,0.030808695647359816,0.016321529783762542,1,0.9065789851790474
Glyma.03G209400.1,Glyma.03G209400|GmTIR1/AFB1_B.1,1,0.8824320245537732,0.7215895337434408,0.9118830324542097,0.7918764304671169,0.9371631998918398,0.7328175121219331,0.17037304446128107
Glyma.03G247400.1,Glyma.03G247400|GmIAA16-C.1,0.34872922397897094,0.5049314418997568,0.40367124718235387,0.5736612330827721,0.4657965183675165,0.8271673557922308,1,0.47934049661606654
Glyma.03G258300.1,Glyma.03G258300|GmARF11/18_C.1,0.2295317463070143,0.37219477975226817,0.18031878888641506,0.24278588123147635,0.6136437682719299,1,0.42676677605117097,0.6557930432499542
Glyma.04G089900.1,Glyma.04G089900|GmIAA8-9-F.1,0.5241264627817525,0.7222859780445782,0.3895891765726577,0.3947102751425732,0.31942753783251343,0.24483937593361027,1,0.5675035322820524
Glyma.04G093500.1,Glyma.04G093500|GmAFB4/5_B.1,0.8203445833508858,1,0.593869243571556,0.8108753268498399,0.1920766343775608,0.20881028817086658,0.6503916908034647,0.4539387054793044
Glyma.04G200600.1,Glyma.04G200600|GmARF2_B.1,0.5931187610539129,1,0.4972602029031162,0.8760290220361824,0.22275614530300772,0.3353556445932699,0.20169815598540014,0.5456303446875185
Glyma.04G200600.2,Glyma.04G200600|GmARF2_B.2,0,1,0.28972945939364203,0.3918214527203493,0.01981854860220921,0,0.06591137005223285,0.8721198615385944
Glyma.04G254200.1,Glyma.04G254200|GmARF17_F.1,0.781080592926511,1,0.8343823061905915,0.9094398991497405,0.2883729935505042,0.48214644111030397,0.50477749453681,0.3666333787559231
Glyma.05G200800.1,Glyma.05G200800|GmARF2_C.1,0.7235430473713726,0.7054980993436029,0.37387205447770083,0.5391075168387265,0.49270300657378285,1,0.4758181525654342,0.44824302047156334
Glyma.05G200800.4,Glyma.05G200800|GmARF2_C.4,0.2590676024492531,1,0.3462397119867772,0.3678309563859088,0.08810793689960003,0,0.13258469555361366,0.8010281827874746
Glyma.05G221300.2,Glyma.05G221300|GmARF7/19_G.2,0,1,0.3745358722865047,0.4250404037303846,0.3486837986083403,0,0.26945425368193515,0.7637142786154726
Glyma.05G229300.1,Glyma.05G229300|GmIAA27-A.1,0.3570219701339174,0.3744040313151422,0.5259777540351708,0.5592942955622647,0.06123812864947202,0.4501475139279514,1,0.6119860510626802
Glyma.06G091700.3,Glyma.06G091700|GmIAA8-9-E.3,0.5822419471209046,1,0.4609160849047277,0.305165814584456,0.31304775184405187,0.11634872029821601,0.3006737390402369,0.6536009903679011
Glyma.06G095400.1,Glyma.06G095400|GmAFB4/5_A.1,0.7926846919752758,1,0.5034262067252859,0.7500724386649124,0.44410568546287965,0.36552617993358294,0.7833210413950311,0.3934772926405054
Glyma.06G164900.2,Glyma.06G164900|GmARF2_A.2,0.7667328314830122,0.8202019240169006,0.5085858664027109,1,0.23424280055744665,0.43669177278453,0.21707940417140079,0.5027442334306665
Glyma.06G164900.3,Glyma.06G164900|GmARF2_A.3,0.16123985806167906,1,0.3206086264762827,0.3290628249606526,0.12484239570169996,0.015470925697599286,0.07992275095958211,0.8281421030237507
Glyma.07G034200.1,Glyma.07G034200|GmIAA6/19-C.1,0.008591901450380293,0.005413841628300848,0.012787948423474098,0.04944851053832789,0.012939488002065356,0.02230215033161629,1,0.9814193599376392
Glyma.07G054800.1,Glyma.07G054800|GmARF11/18_B.1,1,0.8824776872511515,0.5402668849332207,0.5806360736261812,0.2649165588434616,0.5318649801650941,0.44659031368264834,0.4588745835830404
Glyma.07G054800.4,Glyma.07G054800|GmARF11/18_B.4,1,0.46613563363506216,0.40197996028795974,0.42980624450047183,4.397019993453247e-4,0.05040327844712171,0.3995362535028863,0.7086164879378588
Glyma.07G130400.1,Glyma.07G130400|GmARF7/19_E.1,0.7231887266983474,0.9269434254423251,0.4640188183992636,0.8002079027458943,1,0.12931575814038077,0.7208180935953178,0.3725845458297452
Glyma.07G134800.1,Glyma.07G134800|GmARF9_C.1,0.6146884690020089,1,0.41828180099540657,0.6411648756040713,0.28404486144952185,0.20357168214955565,0.17769142864296134,0.6100928136927457
Glyma.07G189800.4,Glyma.07G189800|GmAFB6_A.4,0.20422621582919886,1,0.5494812322485796,0.5670755461794076,0.2764363995500001,0,0.831132692205471,0.5952746523312238
Glyma.07G189800.5,Glyma.07G189800|GmAFB6_A.5,1,0.9590554068144942,0.35901422555917584,0.911442925400416,0.5323963234951141,0,0.5088960617451226,0.4548658428309462
Glyma.07G202200.1,Glyma.07G202200|GmARF3_A.1,1,0.6906938961044825,0.37824356278569915,0.4490551928944172,0.2120704597827445,0.3853437269991977,0.5431806845189266,0.5569020794857554
Glyma.07G272800.1,Glyma.07G272800|GmARF1_C.1,0.5774218456790504,1,0.41377341130411693,0.5871625399922742,0.3879048954042933,0.3402837110086046,0.31063096367744353,0.5638037721557029
Glyma.08G008100.2,Glyma.08G008100|GmARF2_D.2,0.44084026813232846,1,0.295950062532093,0.4029243136932798,0.14383747126470342,0.4629882868250331,0.25868829013661787,0.6657952179026574
Glyma.08G008100.3,Glyma.08G008100|GmARF2_D.3,1,0.4827182714002032,0.5587986987803366,0.7586930545296557,0.5116852883337736,0,0.3390269720555857,0.5581796191500742
Glyma.08G027800.1,Glyma.08G027800|GmARF7/19_H.1,0.4010935783246171,0.5405374786872191,0.24380505883544848,0.5116284731684753,1,0,0.4717734746881521,0.6385269893826814
Glyma.08G036400.1,Glyma.08G036400|GmIAA27-C.1,0.6880534229907851,0.6439255952383347,1,0.8091143212182944,0.13260205790119572,0.4725199121420065,0.9417296845960913,0.3853425009855487
Glyma.08G036400.2,Glyma.08G036400|GmIAA27-C.2,0.10197661261652081,1,0.5719964413781425,0.17496107032395872,0,0,0.7777471882189666,0.7288864479104019
Glyma.08G059500.6,Glyma.08G059500|GmAFB6_B.6,0.4031031542407266,0.5092583006086135,0.2401726579530995,0.41604191285046327,0.14851230934739,0.2231847943022119,1,0.6766211451162492
Glyma.08G100100.3,Glyma.08G100100|GmARF6_A.3,0.5785138665659862,1,0.4462266329685887,0.6019986712996874,0.04591723204884983,0.040797794734973074,0.4208886456427016,0.6442761927898689
Glyma.08G100100.2,Glyma.08G100100|GmARF6_A.2,0.6108577631425707,1,0.34178778789844255,0.4984439595517809,0.15551549115505942,0.39476523535106084,0.29170301768132173,0.6178211242032939
Glyma.08G200700.2,Glyma.08G200700|GmIAA18/26/28-B.2,0.54922973007778,0.6488398442312883,0.8426550847931525,0.9690956936211446,0.24818857267624855,0,1,0.4569985124333977
Glyma.08G273500.1,Glyma.08G273500|GmIAA8-9-C.1,0.7529245100421287,0.6111578750852801,0.44603531183380213,0.8041662033738697,0.2298289179813887,0.7438023778245417,1,0.4020141339764982
Glyma.08G273500.2,Glyma.08G273500|GmIAA8-9-C.2,0.4676446052335546,0.5417395976189201,0.3820213208807419,0.36155312386989424,0.15017998830111606,0.06621130377874863,1,0.6717750100528375
Glyma.09G072200.1,Glyma.09G072200|GmARF7/19_A.1,1,0.9737819608507959,0.3138939951020718,0.353480119376142,0.31305371847416086,0.21432253091741518,0.7960702325949939,0.5058995737807367
Glyma.09G193000.1,Glyma.09G193000|GmIAA27-D.1,0.2620316645553565,0.3965430971920163,0.42749361019921595,0.24012555728198126,0.1293466622284065,0.13075961293039262,1,0.7356166326021052
Glyma.09G203300.3,Glyma.09G203300|GmIAA8-9-A.3,0.25940085371979404,0.350516684463117,0.2560556462251358,0.3109449478196857,0,0,1,0.8038469779620446
Glyma.09G203300.1,Glyma.09G203300|GmIAA8-9-A.1,0.23585329402557922,0.14101403241875055,0.16096958485443189,0.18486313248198324,0.31042333406099126,0.2803742637375346,1,0.7810837264034549
Glyma.10G021500.2,Glyma.10G021500|GmTIR1/AFB1_C.2,0.4690082770465744,0.8548348426960478,0.5915581410608598,0.7555462141708066,0.5556764598368401,1,0.5606026357644057,0.3687955715707443
Glyma.10G021500.3,Glyma.10G021500|GmTIR1/AFB1_C.3,1,0.3178757202451678,0.459344079821174,0.8368726854013474,0.13615996851089102,0.732802439266775,0.1918065662166888,0.554189756756326
Glyma.10G021500.1,Glyma.10G021500|GmTIR1/AFB1_C.1,1,0.7439868702126986,0.4094893581258403,0.5030668278026817,0.6171021661574387,0.16487809806473858,0.6001912225527066,0.4935475761806492
Glyma.10G031800.3,Glyma.10G031800|GmIAA1-4-G.3,0.11888175952453124,0.10312559232690618,0.15346773291590404,0.11725355985496408,0.20721498983299502,0.09956280280129703,1,0.8667489271239003
Glyma.10G031900.1,Glyma.10G031900|GmIAA16-E.1,0.10680145647649894,0.19414380272643125,0.08906658699888706,0.19617619609585182,0,1,0.6000806935687923,0.8022885440222565
Glyma.10G040400.3,Glyma.10G040400|GmIAA12-13-D.3,0.2386557507266983,0.3517711137673371,0.22939642357881884,0.36362672040652255,0.05672898302420188,0.2449069701429763,1,0.7524856730589075
