Transcript ID,heatmap_label,tau
Glyma.13G354100.8,Glyma.13G354100|GmIAA18/26/28-C.8,0.590862869609145
Glyma.13G354100.11,Glyma.13G354100|GmIAA18/26/28-C.11,0.6834277984519906
Glyma.13G356600.1,Glyma.13G356600|GmIAA27-E.1,0.5803970059459498
Glyma.13G361100.1,Glyma.13G361100|GmIAA6/19-A.1,0.8576153699023716
Glyma.13G361200.2,Glyma.13G361200|GmIAA15-A.2,0.768501726681087
Glyma.13G361200.3,Glyma.13G361200|GmIAA15-A.3,0.7984750076948731
Glyma.14G032700.1,Glyma.14G032700|GmARF6_F.1,0.5729543695070595
Glyma.14G032700.2,Glyma.14G032700|GmARF6_F.2,0.5843545878780141
Glyma.14G179500.1,Glyma.14G179500|GmAFB4/5_C.1,0.35062019125091987
Glyma.14G185400.1,Glyma.14G185400|GmIAA8-9-G.1,0.4684912667499862
Glyma.14G208500.1,Glyma.14G208500|GmARF8_D.1,0.5745586337626786
Glyma.14G217700.1,Glyma.14G217700|GmARF5_A.1,0.7922924566296216
Glyma.15G017500.1,Glyma.15G017500|GmIAA27-F.1,0.8448907195918725
Glyma.15G017500.3,Glyma.15G017500|GmIAA27-F.3,0.7733901913909674
Glyma.15G020300.1,Glyma.15G020300|GmIAA18/26/28-D.1,0.6849316341722423
Glyma.15G091000.1,Glyma.15G091000|GmARF6_D.1,0.6541681685487131
Glyma.15G091000.4,Glyma.15G091000|GmARF6_D.4,0.7857476854573733
Glyma.15G142600.2,Glyma.15G142600|GmARF13_A.2,0.45764655059886944
Glyma.15G181000.2,Glyma.15G181000|GmARF7/19_B.2,0.4623925840345616
Glyma.16G000300.1,Glyma.16G000300|GmARF1_B.1,0.447168925615312
Glyma.16G023600.2,Glyma.16G023600|GmARF11/18_A.2,0.7546073592555634
Glyma.16G050500.1,Glyma.16G050500|GmAFB2/3_B.1,0.5829505182033725
Glyma.17G047100.1,Glyma.17G047100|GmARF7/19_C.1,0.5835487117868466
Glyma.17G112300.1,Glyma.17G112300|GmIAA29-D.1,0.7308947932953364
Glyma.17G256500.1,Glyma.17G256500|GmARF5_B.1,0.887580541771388
Glyma.18G046800.1,Glyma.18G046800|GmARF8_B.1,0.580714109566244
Glyma.18G184500.1,Glyma.18G184500|GmARF9_D.1,0.6333457473638051
Glyma.19G100200.1,Glyma.19G100200|GmAFB2/3_A.1,0.5983780775171544
Glyma.19G161000.1,Glyma.19G161000|GmIAA1-4-E.1,0.8467815390682429
Glyma.19G161000.3,Glyma.19G161000|GmIAA1-4-E.3,0.9278063846272292
Glyma.19G161100.1,Glyma.19G161100|GmIAA16-G.1,0.9413550790018974
Glyma.19G181900.2,Glyma.19G181900|GmARF17_C.2,0.5736415557648051
Glyma.19G206800.1,Glyma.19G206800|GmTIR1/AFB1_A.1,0.4698218106574779
Glyma.19G245200.1,Glyma.19G245200|GmIAA16-D.1,0.6933261880983275
Glyma.20G180000.1,Glyma.20G180000|GmARF10/16_F.1,0.5918304162106682
Glyma.20G210400.1,Glyma.20G210400|GmIAA7/14/17-B.1,0.9346188632673234
Glyma.20G210500.1,Glyma.20G210500|GmIAA1-4-B.1,0.8141887936375968
Glyma.20G225000.1,Glyma.20G225000|GmIAA16-B.1,0.6976748374811994
