Gene ID,Transcript ID,Orthology,Family,AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule,Class,Clade
Glyma.04G200600,Glyma.04G200600.2,GmARF2_B.2,ARF,26.73452,16.607927,37.897829,13.127561,0,1.352247,4.497224,0,68.231384,19.768642,7.291077,0,4.688822,1.582784,B,I
Glyma.04G254200,Glyma.04G254200.1,GmARF17_F.1,ARF,6.158024,1.740286,4.751942,7.621131,1.658487,1.952639,3.417963,5.288874,6.771227,5.649792,2.313244,3.264723,0.916848,1.975302,C,III
Glyma.05G200800,Glyma.05G200800.1,GmARF2_C.1,ARF,23.736932,7.300337,13.387625,33.516112,4.197497,21.693739,20.950298,31.857638,31.063118,16.461606,4.368482,44.030052,25.338768,21.300657,B,I
Glyma.05G200800,Glyma.05G200800.4,GmARF2_C.4,ARF,106.794815,41.848269,90.20675,89.149798,3.924654,25.580965,38.494199,75.216825,290.33667,100.526085,25.977418,0,0,0,B,I
Glyma.05G200800,Glyma.05G200800.5,GmARF2_C.5,ARF,0,7.085473,0.501115,2.971384,0.026667,0,0.201144,0.071856,31.068197,0.871983,0,41.942957,37.278468,9.539917,B,I
Glyma.05G221300,Glyma.05G221300.2,GmARF7/19_G.2,ARF,2.423506,4.725211,3.187878,3.68051,0.208647,1.988134,1.536381,0,5.701825,2.135538,13.489484,0,0,0,A,II
Glyma.05G221300,Glyma.05G221300.1,GmARF7/19_G.1,ARF,1.523845,0.679327,0,2.978405,0.568936,0.22693,1.605076,0,0.655943,0.702173,0,3.260319,2.29521,0,A,II
Glyma.05G221300,Glyma.05G221300.3,GmARF7/19_G.3,ARF,1.965651,1.135932,3.817258,3.645584,0,0,0,3.436221,4.684826,1.044273,5.350226,1.095481,3.834565,0.815351,A,II
Glyma.05G229300,Glyma.05G229300.1,GmIAA27-A.1,IAA,18.153737,8.425413,21.08926,16.708736,26.133097,1.987685,32.458291,11.588323,12.152515,17.072339,2.064005,14.611019,10.990872,3.455519,A,I
Glyma.06G067700,Glyma.06G067700.1,GmIAA29-A.1,IAA,3.500793,0.890595,0.688384,1.6078,3.815867,0.878032,5.55582,2.058109,4.460483,4.603949,1.239941,2.894009,1.167827,0,A,I
