Orthology,AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule,tau
GmARF6_F.1,0.79,0.44,0.61,1.00,0.30,0.45,0.52,0.36,0.39,0.29,0.59,0.34,0.37,0.13,0.57
GmARF6_F.2,0.67,0.47,0.55,0.67,0.23,0.47,0.71,0.55,1.00,0.49,0.39,0.07,0.11,0.02,0.58
GmAFB4/5_C.1,0.95,0.94,0.70,0.76,0.49,0.37,0.77,1.00,0.86,0.44,0.55,0.84,0.63,0.15,0.35
GmIAA8-9-G.1,0.57,1.00,0.54,0.66,0.41,0.38,0.88,0.82,0.88,0.56,0.04,0.21,0.87,0.08,0.47
GmARF8_D.1,0.74,0.41,0.77,1.00,0.24,0.11,0.54,0.71,0.94,0.45,0.20,0.27,0.14,0.02,0.57
GmARF5_A.1,0.27,0.12,0.20,0.42,0.02,0.07,0.05,0.70,1.00,0.31,0.37,0.08,0.09,0.00,0.79
GmIAA27-F.1,0.20,0.33,0.28,0.16,0.28,0.09,1.00,0.11,0.12,0.15,0.06,0.06,0.15,0.03,0.84
GmIAA27-F.3,0.54,1.00,0.22,0.51,0.00,0.00,0.00,0.00,0.37,0.58,0.00,0.33,0.40,0.00,0.77
GmIAA18/26/28-D.1,0.56,0.26,0.37,0.63,0.04,0.40,0.30,0.60,1.00,0.41,0.16,0.24,0.13,0.00,0.68
GmARF6_D.1,0.77,0.44,1.00,0.97,0.03,0.08,0.32,0.35,0.78,0.44,0.09,0.09,0.12,0.01,0.65
GmARF6_D.4,0.33,0.40,0.63,1.00,0.03,0.11,0.47,0.47,0.00,0.27,0.08,0.00,0.00,0.00,0.79
GmARF13_A.2,0.75,0.39,0.65,0.90,0.19,0.77,0.45,0.98,1.00,0.35,0.56,0.67,0.00,0.38,0.46
GmARF7/19_B.2,0.66,0.87,0.35,0.78,0.31,0.12,0.63,0.87,1.00,0.43,0.76,0.53,0.44,0.26,0.46
GmARF1_B.1,0.63,0.49,0.58,0.78,0.40,0.40,0.65,0.82,1.00,0.50,0.79,0.52,0.45,0.18,0.45
GmARF11/18_A.2,0.37,0.16,0.32,0.38,0.03,0.10,0.01,0.89,1.00,0.38,0.00,0.41,0.13,0.02,0.75
GmAFB2/3_B.1,0.63,0.40,0.37,0.67,0.15,0.32,0.31,0.93,1.00,0.44,0.54,0.37,0.20,0.10,0.58
GmARF7/19_C.1,0.40,1.00,0.24,0.58,0.28,0.33,0.75,0.78,0.92,0.38,0.28,0.20,0.26,0.02,0.58
GmIAA29-D.1,0.34,1.00,0.14,0.20,0.06,0.06,0.99,0.35,0.72,0.48,0.00,0.12,0.00,0.04,0.73
GmARF5_B.1,0.11,0.04,0.05,0.26,0.00,0.02,0.02,0.41,0.35,0.10,1.00,0.04,0.06,0.01,0.89
GmARF8_B.1,0.71,0.48,0.61,0.82,0.20,0.11,0.63,0.68,1.00,0.44,0.34,0.17,0.22,0.03,0.58
GmARF9_D.1,0.40,0.54,0.33,0.69,0.08,0.02,0.30,0.65,1.00,0.45,0.33,0.00,0.98,0.00,0.63
GmAFB2/3_A.1,0.56,0.57,0.36,0.57,0.18,0.17,0.26,0.81,1.00,0.42,0.59,0.36,0.29,0.10,0.60
GmIAA1-4-E.1,0.03,1.00,0.19,0.11,0.56,0.13,0.74,0.01,0.01,0.00,0.01,0.04,0.13,0.03,0.85
GmIAA1-4-E.3,0.01,1.00,0.11,0.04,0.18,0.10,0.44,0.01,0.01,0.01,0.00,0.02,0.02,0.00,0.93
GmIAA16-G.1,0.02,0.32,0.09,0.03,0.13,0.01,1.00,0.00,0.00,0.01,0.00,0.00,0.10,0.05,0.94
