AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule
0.25979330277994506,0.021233967062333624,0.09972172107675961,-0.24032158131258,0,-1.1307682802690244,0.23351821967137712,0.07112575044653713,0.41248238760908834,-0.30956379492934166,0,0.02266463239672188,0.38938937839882276,1.633414438106681
0.32669359678748344,-0.11009854485304464,0.21293777934739774,0.340202310106282,-0.24063362252418968,0,0.10037468123578655,-0.27283301554959477,0,-0.08999386424201329,0,0.009863322159380569,0,1.71275774839612
0,-0.2790671009753877,0,-0.5919144402495666,-1.0894076081689292,0,0.007583073226628644,0.2594588874011578,0.15188414013734403,0,0,0.7911554144703237,0.9232481646198599,1.1336044627291506
0,-0.3462261616064549,-0.1101836133927387,-0.7637374082886159,-0.8681440460441913,0,-0.004829178391281376,-0.02273287230605976,0,-0.292832797643179,0,0,-0.3687754629661198,1.022678853446724
-0.36716223414024457,-0.1752807537399883,-0.7316748161339841,-0.27651313212814405,-1.1127428858610688,0,-0.29969009479725756,0,-0.8069227311872099,-0.5337405210645484,0,0,-0.13588245407562588,1.2174732578060854
0.18294079438669505,-0.16792112393719433,0,0.47398375228318934,-0.24493658494080556,-0.6441080868686253,0.2054956009771435,0,-0.18313389821733583,-0.15355587406812127,0,0.5132600949028812,0.36082242741960724,0
0,0,0.662790496951078,0,0,0,0,0,0,0,0,0.8828932186739117,0.8529171178795131,0
0,0,0,0,-0.25533391868508976,0,-0.16856665824538317,0,0,0,0,1.105112495556282,0.783742617627632,0.5178207530704348
0,0,0,0,0,0,0,0,0,0,0,0.46650372778853905,0.7228645802142996,0.5005937560249235
-0.12034855611497543,-0.7000157405674685,0,0.006494709017662241,-0.4792872621893633,0,-0.024120799974215193,0.2091880983365408,0,-0.06740144432519476,0,0,0,0
0,0,0,0,-1.2773743028183588,0,0,0,0,0,0,0,0.17409849398992475,0
0,0.007247069602722943,0,0,0,0.613861475634182,0.47319038071548913,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.6767277118315544,0,0.002957441563484212
0,0,0,0,0,0,0,0,0,0,0,0.32797917473021704,0,0
0,0,0,0,0,0,0,0,0,0,0,0.23055952465243373,-0.18882462162705002,0
0.4638622440271306,0,0,0.4144306420287638,0,0,0.0035690921605369304,-0.10967736535217168,0,-0.1415524375492662,0,0,0,0
0,0,0.42641674730041146,0.03108433944725194,0,0,0,0,0.14968272857670278,0,-0.17886656366503445,0,0,0
0,-0.20919357320845752,0,0,0,0,-0.09875751719160958,0,0,0,0,0,0.22365841406147538,0
0,0,0,0,0,0,-0.263635373717493,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-0.45673552297539854,0.5581983948747058,0
0,0,0.3595089750044634,0,0,0,0,0.5542407476370531,0.3898382771816659,0,0,0,0,0
-0.43732655102413,0.09073265977161718,0.1264067737373787,-0.3235002661278129,-0.14134492131315077,0,-0.5653033810753358,0.024096352262558466,-1.5182564795795548,0,0,0,0,0
0.2141826347518172,0.09028133698285065,0,0,0,0,-1.1076493504163443,0,0,0,0,0,0,-0.08666201364996332
0.3383825775657954,0,0,0,-1.1406995483200832,0.001264126843701886,-1.1424684975332593,0.45441675472298243,-0.08370558526688662,-0.0653677460706667,-9.586766624721492e-4,0,0,0
-0.5904015982605791,0.05163711764744886,0,-0.016512186045460737,0.9785753125146139,0,-0.6386688748614683,-0.15711379879313705,0.4171789647903596,0,0,0,0,0
-0.7296822557222782,0,0,0,0,0,0,-0.5285381257955127,0,0,0,0.7090865346149454,0,0.16261428479930617
-0.8988821466056216,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3715793931545021,-0.22618065516788327,-0.38579272149228133,-1.036080016182744,0.4209526550865104,-0.3188284362861101,-0.6926130842607253,0.6436903876475344,0.28448690648485764,-0.06504376093691769,0,-0.5517096273172105,-0.045682219373793485,0
0,0,0,-0.8447702713975088,0,0,0,0,-0.027890234696671942,-0.5276956276286271,0,0,0.4640896455289545,0
0,0,0,-1.1851067714565506,0,0,0,0,0,0,0,0,0.22461696112785898,0
0.707690654815023,0,0.35965376130752447,0.7301374591879609,-0.3354736636936667,0.4790867600858549,0.498519929760946,1.1048978920344572,1.1433958436180218,0,0.07987339390496054,0,0,0
0.3265163014759191,0,0.8555274538233928,0.9999834964961192,0,0.9320647467884944,-0.3394817170300477,1.0690300590041375,0.1112527654537056,0.5740587142716723,0,0,0,-0.2659862906371305
0.6087549940218077,-0.06428269124195575,-0.42397901690952017,1.0439593858160217,-0.010472318889163416,0,0.1421597424403494,0.14988851882980433,0.6080739609578396,0.4889919779760852,0,0,0,0
0.5441664319259739,-0.05031974742454105,-0.16216923246484882,0.20623202432629711,0.5815932291943471,-0.056489655881857496,0.7447481668220438,0.3134683718088063,0.6493818885052516,0.6631305041103923,0.09340102065897701,0.46149987738573445,0.067378511860169,0
