ensembl_gene_id,Transcripts,class_9FAMILY_BASED,name,Function,Function2,AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule
Glyma.02G239600,KRH72898,A,NA,ARF,ARF8,37.168779,5.439277,41.924483,51.089719,6.308382,0,23.9867,52.87285,68.490459,26.447317,6.139986,0,3.626608,0
Glyma.02G239600,KRH72899,NA,NA,NA,NA,0,0,0.218475,0,0.370842,0.01194,0,0,1.122301,0,0.023152,1.161476,0.157309,0
Glyma.02G239600,KRH72900,A,NA,ARF,ARF8,13.757865,13.859804,8.771196,7.354321,6.099923,14.166313,33.826894,0,11.829332,13.561473,1.55181,0,0,0
Glyma.02G239600,NA,A,Glyma.02G239600.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.02G254300,KRH73146,COI1,GLYMA_02G254300.1,AFB/TIR1,COI1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.02G281700,KRH73577,A,NA,ARF,ARF6/8,20.402659,13.073416,16.086843,21.247472,7.104116,10.711722,17.368718,15.922192,25.286879,14.471819,9.899494,10.329377,3.938563,3.205269
Glyma.02G281700,KRH73578,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.349353,3.61575,0
Glyma.02G281700,KRH73579,NA,NA,NA,NA,0.033496,0,0,0.116507,0.042072,0,0,0,0,0,0,0,0.060122,0
Glyma.02G281700,NA,A,Glyma.02G281700.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.03G070500,KRH65921,B,NA,ARF,ARF9,14.963834,9.149436,10.014337,18.303006,6.361899,6.335987,4.159165,21.230577,13.709403,9.639602,2.603449,42.803542,126.598709,27.491901
Glyma.03G070500,KRH65922,B,NA,ARF,ARF9,45.008611,32.497606,40.924358,42.192675,8.439588,8.282666,7.071054,47.672295,55.806546,37.757871,0.68589,8.647167,43.277837,3.279099
Glyma.03G070500,NA,B,Glyma.03G070500.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.03G158600,NA,A,Glyma.03G158600.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.03G158700,KRH67289,A,NA,IAA,IAA16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.03G158700,NA,A,Glyma.03G158700.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.03G167400,NA,B,Glyma.03G167400.9,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.03G208800,KRH68102,NA,NA,NA,NA,0.141022,0.028981,0.03545,0.139781,0.017437,0,0,0.921585,0.648135,0.172108,0,0,0,0
Glyma.03G208800,NA,B,Glyma.03G208800.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.03G209400,KRH68108,TIR1,GLYMA_03G209400.1,AFB/TIR1,TIR1,25.967032,26.377921,14.286116,20.719333,9.445604,22.549691,20.867913,28.476275,25.128377,20.548182,11.542469,26.686917,5.465411,1.007309
Glyma.03G224800,NA,C,Glyma.03G224800.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.03G247400,KRH68738,A,NA,IAA,IAA16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
